,title,week,rank,genre,heart,star_mean,ep,view
0,Marry My Husband,mon,1,Romance,1700000.0,9.63,17,20700000.0
1,I’m the Queen in This Life,mon,2,Fantasy,211822.0,9.53,6,2100000.0
2,Everything is Fine,mon,3,Horror,5200000.0,9.74,54,81500000.0
3,Blood Reverie,mon,4,Romance,1300000.0,9.25,31,12900000.0
4,To The Stars and Back,mon,5,Slice of life,3400000.0,9.66,69,30400000.0
5,Nice To Meet You,mon,6,Romance,8900000.0,9.68,78,87200000.0
6,The Lazy Lord Masters the Sword,mon,7,Fantasy,1800000.0,9.85,63,17200000.0
7,My Giant Nerd Boyfriend,mon,8,Slice of life,62400000.0,9.73,800,744700000.0
8,Reality Quest,mon,9,Action,153036.0,8.29,5,1700000.0
9,Dungeons & Artifacts,mon,10,Action,2900000.0,9.56,89,27200000.0
10,To You Who Swallowed a Star,mon,11,Romance,3900000.0,9.48,95,32200000.0
11,The Doctors are Out,mon,12,Romance,5700000.0,9.59,112,40700000.0
12,Dear Nemesis,mon,13,Drama,540993.0,9.51,24,4500000.0
13,Rooftops & Roommates,mon,14,Comedy,4600000.0,9.51,123,34400000.0
14,Scroll if You Dare,mon,15,Horror,548965.0,9.54,27,6300000.0
15,To Tame a Fire,mon,16,Supernatural,451171.0,9.73,26,3700000.0
16,Red Hood: Outlaws,mon,17,Action,347109.0,9.49,19,3100000.0
17,Wind Breaker,mon,18,Sports,18500000.0,9.91,408,349100000.0
18,Safely Endangered,mon,19,Comedy,23300000.0,9.56,837,397800000.0
19,The Breaker: Eternal Force,mon,20,Action,256824.0,9.42,21,2800000.0
20,Ingrid the Plague Doctor,mon,21,Slice of life,423226.0,9.44,46,3600000.0
21,Finding Fiends,mon,22,Comedy,1200000.0,9.76,98,7400000.0
22,Karsearin: Adventures of a Red Dragon,mon,23,Fantasy,276807.0,9.43,24,2400000.0
23,The Duke's Cursed Charm,mon,24,Romance,793794.0,9.32,3,7600000.0
24,Daily JoJo,mon,25,Romance,1300000.0,9.78,67,7100000.0
25,Lovely Hell,mon,26,Fantasy,532662.0,9.5,57,4500000.0
26,Flawed Almighty,mon,27,Supernatural,1200000.0,9.62,59,9500000.0
27,21st Century Knights,mon,28,Fantasy,652801.0,9.37,42,4600000.0
28,Heir's Game,mon,29,Drama,4700000.0,9.73,181,32700000.0
29,The Empress’ Lipstick,mon,30,Fantasy,35678.0,8.85,6,332689.0
30,The Build Up,mon,31,Sports,1300000.0,9.78,86,11400000.0
31,Midnight Rain,mon,32,Drama,1800000.0,9.07,110,16700000.0
32,Time and Time Again,mon,33,Supernatural,250180.0,9.61,29,1600000.0
33,Aza,mon,34,Fantasy,559123.0,9.71,41,4600000.0
34,Here There Be Dragons,mon,35,Fantasy,395838.0,9.47,40,2400000.0
35,Loaf App,mon,36,Drama,143597.0,8.61,19,1400000.0
36,THE STAR SEEKERS,mon,37,Fantasy,800412.0,9.82,26,6200000.0
37,Super Awkward Man,mon,38,Comedy,240697.0,9.5,40,1900000.0
38,Psychic Studies,mon,39,Action,280969.0,8.84,46,2300000.0
39,Counting Sheep,mon,40,Horror,168853.0,9.31,29,1400000.0
40,Opposite of Always,mon,41,Romance,252289.0,9.37,38,1800000.0
41,Fray,mon,42,Action,180534.0,9.57,30,1500000.0
42,Plum,mon,43,Sports,926871.0,9.57,129,6500000.0
43,Kidults,mon,44,Slice of life,561967.0,9.49,77,3300000.0
44,The Fabled Warrior,mon,45,Fantasy,516477.0,9.21,72,3400000.0
45,Legends of Silica,mon,46,Fantasy,93080.0,9.29,25,788877.0
46,Spring Once Again,mon,47,Drama,98840.0,9.43,26,626372.0
47,Of What Remains,mon,48,Thriller,179042.0,9.65,51,1400000.0
48,Kubera,mon,49,Fantasy,3900000.0,9.7,550,52100000.0
49,Night Fishing,mon,50,Thriller,42573.0,9.27,6,335266.0
50,Harmonia,mon,51,Sci-fi,204199.0,9.46,59,1200000.0
51,No Outtakes,mon,52,Romance,730299.0,9.44,3,5900000.0
52,Gecko Chan,mon,53,Comedy,503304.0,9.15,124,3400000.0
