,star_mean,heart,isnovel,드라마,로맨스,액션,판타지
0,9.86,20645,0,0.0,0.0,1.0,0.0
1,9.88,477,1,0.0,0.0,0.0,1.0
2,9.93,99999,0,1.0,0.0,0.0,0.0
3,9.96,535,1,0.0,1.0,0.0,0.0
4,9.96,1766,0,0.0,1.0,0.0,0.0
5,9.94,2255,1,0.0,1.0,0.0,0.0
6,9.97,334,0,0.0,1.0,0.0,0.0
7,9.96,848,1,0.0,1.0,0.0,0.0
8,9.97,379,1,0.0,1.0,0.0,0.0
9,9.96,254,0,0.0,1.0,0.0,0.0
10,8.96,375,1,0.0,0.0,0.0,1.0
11,9.29,2146,0,0.0,0.0,1.0,0.0
12,9.39,99999,0,0.0,1.0,0.0,0.0
13,9.94,2654,1,0.0,0.0,0.0,1.0
14,9.92,1173,1,0.0,0.0,0.0,1.0
15,9.98,99999,0,0.0,1.0,0.0,0.0
16,9.38,1962,1,0.0,0.0,1.0,0.0
17,9.11,784,1,0.0,0.0,0.0,1.0
18,9.98,89100,1,1.0,0.0,0.0,0.0
19,9.46,23,1,0.0,0.0,0.0,1.0
20,9.9,1879,0,0.0,0.0,0.0,1.0
21,9.97,360,1,1.0,0.0,0.0,0.0
22,9.82,217,0,0.0,1.0,0.0,0.0
23,9.87,321,0,1.0,0.0,0.0,0.0
24,9.95,3250,1,0.0,1.0,0.0,0.0
25,9.95,99999,1,0.0,0.0,0.0,1.0
26,9.85,99999,0,0.0,0.0,1.0,0.0
27,9.97,2064,0,0.0,1.0,0.0,0.0
28,9.94,1665,1,0.0,0.0,0.0,1.0
29,9.95,9297,1,0.0,1.0,0.0,0.0
30,9.98,70490,1,0.0,1.0,0.0,0.0
31,9.89,295,1,0.0,0.0,1.0,0.0
32,9.97,822,0,0.0,1.0,0.0,0.0
33,9.63,189,0,0.0,0.0,0.0,1.0
34,9.62,1209,0,0.0,0.0,0.0,1.0
35,9.95,290,0,0.0,0.0,1.0,0.0
36,9.96,689,1,1.0,0.0,0.0,0.0
37,9.92,57943,1,0.0,0.0,1.0,0.0
38,9.85,448,0,0.0,1.0,0.0,0.0
39,9.93,1027,0,0.0,0.0,0.0,1.0
40,9.64,279,1,0.0,0.0,0.0,1.0
41,9.93,67557,0,0.0,1.0,0.0,0.0
42,9.96,804,1,0.0,1.0,0.0,0.0
43,9.96,99999,0,0.0,0.0,0.0,1.0
44,9.91,339,1,1.0,0.0,0.0,0.0
45,9.84,1221,1,0.0,1.0,0.0,0.0
46,9.91,691,1,0.0,1.0,0.0,0.0
47,9.81,443,1,0.0,1.0,0.0,0.0
48,9.97,315,1,0.0,1.0,0.0,0.0
49,9.95,4139,0,1.0,0.0,0.0,0.0
50,9.89,2836,1,0.0,0.0,0.0,1.0
51,9.97,1894,0,0.0,1.0,0.0,0.0
52,9.97,1293,1,0.0,0.0,0.0,1.0
53,9.97,2498,1,0.0,0.0,1.0,0.0
54,9.95,26542,1,1.0,0.0,0.0,0.0
55,9.99,11104,0,0.0,1.0,0.0,0.0
56,9.97,515,1,0.0,1.0,0.0,0.0
57,9.75,987,1,0.0,0.0,0.0,1.0
58,9.97,810,0,0.0,1.0,0.0,0.0
59,9.97,74107,0,0.0,1.0,0.0,0.0
60,9.93,160,1,0.0,0.0,1.0,0.0
61,9.94,559,1,0.0,1.0,0.0,0.0
62,9.68,151,1,0.0,0.0,0.0,1.0
63,9.87,205,0,0.0,1.0,0.0,0.0
64,9.8,1949,0,0.0,0.0,0.0,1.0
65,9.95,1370,0,0.0,1.0,0.0,0.0
66,9.97,99999,0,0.0,1.0,0.0,0.0
67,9.95,1020,1,0.0,0.0,0.0,1.0
68,9.96,3401,1,0.0,1.0,0.0,0.0
69,9.97,956,1,1.0,0.0,0.0,0.0
70,9.95,809,1,0.0,0.0,0.0,1.0
71,9.97,923,1,0.0,1.0,0.0,0.0
72,9.92,236,0,0.0,0.0,0.0,1.0
73,9.85,357,0,0.0,0.0,0.0,1.0
74,9.92,232,1,0.0,1.0,0.0,0.0
75,9.93,1151,0,0.0,1.0,0.0,0.0
76,9.78,95,0,0.0,0.0,1.0,0.0
77,9.96,1697,1,0.0,1.0,0.0,0.0
78,8.39,749,1,0.0,0.0,0.0,1.0
79,9.89,13166,0,0.0,0.0,1.0,0.0
80,9.98,1339,1,0.0,1.0,0.0,0.0
81,9.96,436,1,0.0,0.0,0.0,1.0
82,9.98,6275,0,0.0,0.0,0.0,1.0
83,9.97,99999,0,1.0,0.0,0.0,0.0
84,9.95,628,0,0.0,1.0,0.0,0.0
85,9.95,491,0,0.0,0.0,0.0,1.0
86,9.95,719,1,0.0,0.0,1.0,0.0
87,9.87,420,1,0.0,0.0,0.0,1.0
