,title,week,rank,star_mean,large_genre,small_genre,heart,isnovel,isamerica,america_title,
0,참교육,mon,1,9.86,스토리,액션,20645,0,1,Get Schooled,
1,뷰티풀 군바리,mon,2,9.81,스토리,드라마,99999,0,0,,
2,퀘스트지상주의,mon,3,9.8,스토리,드라마,1652,0,0,,
3,장씨세가 호위,mon,4,9.93,스토리,무협/사극,80560,1,0,,
4,윈드브레이커,mon,5,9.83,스토리,스포츠,99999,0,0,,
5,팔이피플,mon,6,9.94,스토리,드라마,2057,0,0,,
6,신화급 귀속 ,mon,7,9.88,스토리,판타지,477,1,1,Mythic Item Obtained,
7,버림받은 왕녀,mon,8,9.97,스토리,로맨스,578,1,0,,
8,퍼니게임,mon,9,9.86,스토리,스릴러,200,0,0,,
9,앵무살수,mon,10,9.97,스토리,판타지,54257,0,0,,
10,호랑신랑뎐,mon,11,9.98,스토리,판타지,1033,0,0,,
11,똑 닮은 딸,mon,12,9.98,스토리,스릴러,1742,0,0,,
12,소녀의 세계,mon,13,9.93,스토리,드라마,99999,0,1,Odd Girl Out,
13,잔불의 기사,mon,14,9.96,스토리,판타지,2469,0,0,,
14,강남의 기사,mon,15,9.65,스토리,판타지,71,0,0,,
15,이별 후 사내,mon,16,9.96,스토리,로맨스,588,1,0,,
16,루루라라 우리,mon,17,9.93,에피소드,일상,297,0,0,,
17,리턴 투 플레,mon,18,9.92,스토리,판타지,21566,0,0,,
18,히어로메이커,mon,19,9.96,옴니버스,판타지,77788,0,0,,
19,북부 공작님을,mon,20,9.96,스토리,로맨스,535,1,1,Charming the Duke of the North,
20,꼬리잡기,mon,21,9.94,스토리,스릴러,1491,0,1,Chasing Tails,
21,물어보는 사이,mon,22,9.96,스토리,로맨스,1766,0,1,Bitten Contract,
22,주작연애,mon,23,9.66,스토리,로맨스,60,0,0,,
23,인섹터,mon,24,9.92,스토리,판타지,114,0,0,,
24,순정말고 순종,mon,25,9.95,스토리,로맨스,6236,0,0,,
25,랭커,mon,26,9.75,스토리,액션,53,0,0,,
26,결혼생활 그림,mon,27,9.96,옴니버스,일상,35833,0,0,,
27,사이다걸,mon,28,9.66,에피소드,드라마,134,0,0,,
28,절대검감,mon,29,9.93,스토리,무협/사극,229,1,0,,
29,더블클릭,mon,30,9.91,스토리,액션,913,0,0,,
30,너를 돌려차는,mon,31,9.93,스토리,로맨스,108,0,0,,
31,수영만화일기,mon,32,9.9,에피소드,일상,887,0,0,,
32,황제와의 하룻밤,mon,33,9.94,스토리,로맨스,2255,1,1,His Majesty's Proposal ,
33,"집사, 주세요!",mon,34,9.84,스토리,로맨스,101,0,0,,
34,제왕: 빛과 ,mon,35,9.89,스토리,액션,196,0,0,,
35,"아, 쫌 참으",mon,36,9.97,스토리,로맨스,1053,0,0,,
36,"또다시, 계약",mon,37,9.85,스토리,로맨스,513,1,0,,
37,오빠집이 비어서,mon,38,9.88,스토리,로맨스,498,1,0,,
38,다시쓰는 연애사,mon,39,9.97,스토리,로맨스,334,0,1,Rewriting Our Love Story,
39,파운더,mon,40,9.89,스토리,액션,210,0,0,,
40,꿈의 기업,mon,41,9.97,스토리,스릴러,99999,0,0,,
41,미니어처 생활,mon,42,9.97,스토리,드라마,515,0,0,,
42,헬크래프트,mon,43,9.85,스토리,판타지,87,0,0,,
43,이제야 연애,mon,44,9.96,스토리,로맨스,848,1,1,A Chance At Last,
44,불청객,mon,45,7.08,스토리,스릴러,185,0,0,,
45,연애 연기대상,mon,46,9.71,스토리,로맨스,21,0,0,,
46,하루의 하루,mon,47,9.96,스토리,드라마,623,0,0,,
47,퇴근 후에 만,mon,48,9.9,스토리,로맨스,65,1,0,,
48,원작은 완결난,mon,49,9.97,스토리,로맨스,379,1,1,Long After the Ending,
49,라서드,mon,50,9.96,스토리,판타지,894,0,0,,
50,우산 없는 애,mon,51,9.96,스토리,드라마,244,0,0,,
51,아슈타르테,mon,52,9.81,스토리,로맨스,245,1,0,,
52,오늘의 비너스,mon,53,9.97,스토리,로맨스,247,0,0,,
53,최후의 금빛아이,mon,54,9.94,스토리,판타지,701,0,0,,
54,메리의 불타는,mon,55,9.93,스토리,드라마,103,0,0,,
55,매지컬 급식:,mon,56,9.91,스토리,판타지,242,0,0,,
56,입술이 예쁜 ,mon,57,9.94,스토리,로맨스,190,1,0,,
57,굿바이 유교보이,mon,58,9.92,에피소드,로맨스,82,0,0,,
58,도깨비 부른다,mon,59,9.92,스토리,판타지,105,0,0,,
